City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nikel,75,RU,1603347282,100,69.41,30.22,21.2,11.41
Cockburn Town,100,TC,1603347282,76,21.46,-71.14,81.46,15.75
Arraial do Cabo,18,BR,1603347282,86,-22.97,-42.03,72.25,12.66
Katangli,99,RU,1603347282,67,51.71,143.23,54.09,10.38
Barrow,90,US,1603347283,93,71.29,-156.79,33.8,17.22
Santa Maria,67,BR,1603347007,79,-29.68,-53.81,66.29,13.38
Nicoya,100,CR,1603347283,92,10.15,-85.45,72.9,2.06
Tubualá,40,PA,1603347283,88,9.52,-79.03,80.6,6.93
Saint George,1,US,1603347040,18,37.1,-113.58,62.6,0.98
Saskylakh,8,RU,1603347284,94,71.92,114.08,6.3,7.23
Haines Junction,4,CA,1603347284,82,60.75,-137.51,20.59,2.24
Hudson Bay,5,CA,1603347284,92,52.85,-102.38,21.49,4.74
Pangnirtung,100,CA,1603347284,94,66.15,-65.71,24.96,2.98
Pudozh,100,RU,1603347284,95,61.81,36.53,31.24,7.47
Sambava,89,MG,1603347285,62,-14.27,50.17,79.86,17.56
Ca Mau,100,VN,1603347212,85,9.18,105.15,81.1,4.27
Talant,88,FR,1603347285,76,47.34,5.01,59.0,6.93
Kudahuvadhoo,2,MV,1603347285,79,2.67,72.89,82.35,12.86
Mount Isa,75,AU,1603347285,27,-20.73,139.5,89.6,23.04
Walvis Bay,90,NA,1603347286,82,-22.96,14.51,61.0,8.05
Wanning,67,CN,1603347286,64,18.8,110.4,79.11,15.68
San Quintín,13,MX,1603347286,85,30.48,-115.95,64.4,4.74
Changli,0,CN,1603347286,37,39.7,119.15,57.0,4.83
Jieshi,32,CN,1603347286,62,22.81,115.83,78.01,5.01
Vardø,40,NO,1603347287,92,70.37,31.11,30.2,8.05
Robertsport,93,LR,1603347287,84,6.75,-11.37,77.27,2.93
Piopio,42,NZ,1603347287,69,-38.47,175.02,62.26,3.02
Padang,100,ID,1603347246,60,-0.95,100.35,84.0,7.14
Najrān,36,SA,1603347287,19,17.49,44.13,71.6,4.7
Mossamedes,36,AO,1603347033,80,-15.2,12.15,70.54,0.92
Faanui,63,PF,1603347288,76,-16.48,-151.75,79.02,12.59
Ukiah,1,US,1603346953,59,39.15,-123.21,62.01,2.46
Sumbe,58,AO,1603347288,73,-11.21,13.84,76.17,5.57
Yellowknife,90,CA,1603347288,92,62.46,-114.35,23.0,9.17
Acará,27,BR,1603347289,96,-1.96,-48.2,72.48,2.51
Hilo,1,US,1603347224,78,19.73,-155.09,75.2,2.66
Merauke,67,ID,1603347289,74,-8.47,140.33,82.58,15.7
Punto Fijo,69,VE,1603347289,80,11.7,-70.2,82.65,20.69
Dingle,32,PH,1603347289,75,11.0,122.67,86.16,15.39
Torbay,90,CA,1603347289,93,47.67,-52.73,50.0,12.75
Dikson,99,RU,1603347290,97,73.51,80.55,26.1,9.4
Porto-Novo,40,BJ,1603347160,88,6.5,2.6,80.6,8.05
Norman Wells,90,CA,1603347290,85,65.28,-126.83,21.2,10.29
Grindavik,90,IS,1603347215,86,63.84,-22.43,41.0,29.97
Alice Springs,40,AU,1603347290,17,-23.7,133.88,98.6,26.4
Isangel,29,VU,1603347291,77,-19.55,169.27,77.85,9.08
São Filipe,29,CV,1603347291,73,14.9,-24.5,80.46,7.07
Westport,90,US,1603347291,100,41.14,-73.36,64.4,3.36
Tari,0,NG,1603347291,32,12.41,4.49,77.63,7.23
Mananara,27,MG,1603347291,62,-16.17,49.77,79.47,9.13
Shuangyang,75,CN,1603347292,42,43.52,125.67,44.6,8.95
Qaanaaq,98,GL,1603347292,88,77.48,-69.36,20.23,7.02
Gornopravdinsk,97,RU,1603347292,97,60.05,69.9,31.86,6.78
Marzuq,3,YE,1603347292,17,14.4,46.47,77.74,6.55
Ust-Kuyga,100,RU,1603347292,95,70.02,135.6,12.16,6.17
Walker,1,US,1603347293,73,30.73,-95.57,75.2,3.36
Gatehouse of Fleet,59,GB,1603347293,93,54.88,-4.18,50.0,7.0
Beira,75,MZ,1603347293,78,-19.84,34.84,77.0,13.87
Måløy,75,NO,1603347293,81,61.94,5.11,46.4,6.93
Khāsh,0,IR,1603347294,15,28.22,61.22,71.37,8.01
Cooma,39,AU,1603347294,28,-36.23,149.13,73.4,10.29
Gimli,60,CA,1603347294,98,50.63,-96.99,30.0,8.34
Buritis,98,BR,1603347294,79,-15.62,-46.42,73.13,3.33
La Teste-de-Buch,16,FR,1603347294,100,44.63,-1.14,53.6,6.98
Chui,96,UY,1603347295,74,-33.7,-53.46,58.64,13.4
Lebu,3,CL,1603347295,87,-37.62,-73.65,45.99,15.5
Swansea,55,GB,1603347295,96,51.62,-3.94,55.0,5.84
Kokstad,20,ZA,1603347295,44,-30.55,29.42,73.38,3.18
Coyhaique,2,CL,1603347295,70,-45.58,-72.07,42.8,3.36
Clarence Town,20,AU,1603347295,57,-32.58,151.78,81.0,14.99
São Félix do Xingu,94,BR,1603347296,89,-6.64,-51.99,72.95,1.74
Minuri,89,PH,1603347296,65,16.54,121.86,89.35,6.31
Bodden Town,100,KY,1603347296,89,19.28,-81.25,81.0,1.99
East London,0,ZA,1603347036,72,-33.02,27.91,66.2,10.29
Ulaanbaatar,3,MN,1603347006,35,47.91,106.88,41.0,6.71
Ishigaki,75,JP,1603347297,100,24.34,124.16,78.8,5.82
Jiuquan,0,CN,1603347297,22,39.74,98.52,64.76,10.47
Necochea,73,AR,1603347135,87,-38.55,-58.74,52.0,3.0
Fort Smith,1,US,1603347297,88,35.39,-94.4,68.0,4.7
El Sauzal de Rodríguez,3,MX,1603347298,82,31.9,-116.68,66.99,0.67
Bengkulu,100,ID,1603347298,76,-3.8,102.27,79.84,10.18
Laas,40,IT,1603347298,100,46.62,10.7,46.99,2.64
Port Hedland,42,AU,1603347298,43,-20.32,118.57,83.73,17.85
Hirara,75,JP,1603347298,100,24.8,125.28,78.8,11.41
Narsaq,61,GL,1603347296,68,60.92,-46.05,26.6,3.36
Pangani,95,TZ,1603347299,72,-5.43,38.97,81.05,5.48
Paciran,65,ID,1603347299,56,-6.88,112.38,88.86,8.97
Krasnosel'kup,81,RU,1603347299,97,65.7,82.47,19.85,3.33
Sterling,1,US,1603347090,93,39.01,-77.43,64.99,3.36
Lüderitz,84,NA,1603347300,79,-26.65,15.16,60.15,17.2
Bethel,90,US,1603347156,100,41.37,-73.41,64.4,2.8
Pevek,40,RU,1603347300,97,69.7,170.31,29.66,9.8
Northam,87,GB,1603347301,92,51.03,-4.22,51.01,5.99
Lebedyn,100,UA,1603347301,72,50.59,34.48,48.2,3.76
Sorong,67,ID,1603347301,74,-0.88,131.25,83.5,6.24
Vilnius,75,LT,1603347191,93,54.69,25.28,46.99,13.87
Oranjemund,84,NA,1603347302,77,-28.55,16.43,61.47,17.2
Soure,9,BR,1603347303,81,-0.72,-48.52,79.77,10.67
Lompoc,90,US,1603347303,87,34.64,-120.46,59.0,0.83
Panabá,56,MX,1603347304,94,21.28,-88.27,75.25,5.86
Ahipara,100,NZ,1603347304,94,-35.17,173.17,59.95,5.23
Nuuk,89,GL,1603347247,86,64.18,-51.72,30.2,4.7
Lázaro Cárdenas,79,MX,1603347305,88,17.96,-102.2,79.59,3.71
Pontian Kecil,20,MY,1603347305,74,1.48,103.39,84.2,8.05
Toora-Khem,26,RU,1603347306,58,52.47,96.11,43.32,3.33
Dhidhdhoo,100,MV,1603347306,77,6.88,73.1,82.24,13.56
Coria,61,ES,1603347306,97,39.99,-6.54,54.0,3.62
Zhezkazgan,25,KZ,1603347307,51,47.8,67.71,45.75,19.93
Neiafu,75,TO,1603347307,83,-18.65,-173.98,77.0,8.05
Cururupu,16,BR,1603347308,88,-1.83,-44.87,74.7,4.0
Opelousas,1,US,1603347308,88,30.53,-92.08,70.0,3.36
Władysławowo,17,PL,1603347309,76,54.79,18.4,55.0,16.11
Severnyy,99,RU,1603347309,93,50.68,36.55,44.6,2.24
Finschhafen,35,PG,1603347309,69,-6.6,147.87,83.95,3.58
Nara,75,JP,1603347310,68,34.69,135.8,71.6,6.93
Kilifi,75,KE,1603347311,94,-3.63,39.85,78.8,6.93
Bredasdorp,75,ZA,1603347311,77,-34.53,20.04,62.6,5.82
San Miguel de Cozumel,90,MX,1603347311,100,20.51,-86.95,77.0,10.29
São João da Barra,60,BR,1603347311,87,-21.64,-41.05,72.7,11.1
Gangākher,29,IN,1603347312,70,18.95,76.75,86.0,3.36
Alofi,90,NU,1603347312,94,-19.06,-169.92,75.2,14.99
Coquimbo,1,CL,1603347196,93,-29.95,-71.34,50.0,4.7
Guatire,32,VE,1603347312,82,10.48,-66.54,73.53,2.62
Kongoussi,20,BF,1603347313,42,13.33,-1.53,80.85,2.82
Bambous Virieux,75,MU,1603347314,57,-20.34,57.76,80.6,14.99
Luena,62,AO,1603347314,69,-11.78,19.92,70.41,2.86
Russell,1,US,1603347303,88,32.35,-85.2,69.8,3.36
Strezhevoy,75,RU,1603347315,98,60.73,77.59,32.0,8.95
Vila Franca do Campo,20,PT,1603347315,72,37.72,-25.43,60.8,5.82
Tonj,87,SS,1603347316,85,7.27,28.68,77.16,3.44
Kloulklubed,90,PW,1603347316,74,7.04,134.26,84.2,10.29
Camacha,20,PT,1603347317,59,33.08,-16.33,64.4,13.87
Meulaboh,98,ID,1603347317,61,4.14,96.13,86.81,7.14
Vásárosnamény,33,HU,1603347318,87,48.13,22.32,46.4,5.86
Wisconsin Rapids,90,US,1603347318,69,44.38,-89.82,37.4,4.7
Pilikwe,31,BW,1603347319,64,-22.8,27.19,66.34,15.14
Klaksvík,88,FO,1603347237,63,62.23,-6.59,32.0,1.12
Nome,90,US,1603347320,86,64.5,-165.41,37.4,8.05
Pisco,18,PE,1603347307,82,-13.7,-76.22,62.6,9.17
Leshukonskoye,51,RU,1603347321,98,64.9,45.76,24.33,1.77
Mushie,88,CD,1603347321,91,-3.02,16.9,73.42,2.28
Las Cruces,1,US,1603347322,16,32.31,-106.78,64.0,9.17
Gazipur,75,BD,1603347322,74,24.0,90.42,84.2,9.17
Pamanukan,15,ID,1603347323,56,-6.28,107.81,89.55,10.33
Tasiilaq,100,GL,1603347323,86,65.61,-37.64,30.2,1.12
Esperance,75,AU,1603347324,77,-33.87,121.9,62.6,14.99
Forbes,37,AU,1603347324,31,-33.38,148.02,81.19,2.26
Quelimane,1,MZ,1603347096,59,-17.88,36.89,82.6,8.16
Takoradze,77,GH,1603347325,88,4.88,-1.76,77.7,5.93
Mongoumba,66,CF,1603347325,84,3.64,18.59,74.43,0.25
Port Hardy,5,CA,1603347303,75,50.7,-127.42,42.8,9.17
Arshan',100,RU,1603347326,45,46.27,44.22,46.4,4.47
Opuwo,0,NA,1603347326,50,-18.06,13.84,65.17,2.95
Talnakh,40,RU,1603347326,85,69.49,88.4,12.2,6.71
Kushiro,75,JP,1603347327,87,42.98,144.37,59.0,17.22
Tecpan,20,GT,1603347327,88,14.76,-90.99,66.0,6.93
Lincoln,90,US,1603347305,93,40.8,-96.67,46.4,9.17
Beyneu,100,KZ,1603347328,51,45.32,55.2,48.7,9.24
Paamiut,3,GL,1603347329,86,61.99,-49.67,31.42,20.62
Uyutnoye,60,UA,1603347329,67,45.2,33.3,62.37,10.63
Poum,0,NC,1603347329,76,-20.23,164.02,77.07,10.07
Tezu,5,IN,1603347330,43,27.92,96.17,88.38,3.56
Palana,76,RU,1603347330,98,59.12,159.97,33.96,6.82
Sola,71,VU,1603347330,77,-13.88,167.55,80.8,10.16
Mpophomeni,74,ZA,1603347331,85,-29.57,30.19,66.0,1.54
Verāval,0,IN,1603347331,60,20.9,70.37,87.28,6.44
Lorengau,89,PG,1603347331,75,-2.02,147.27,83.21,2.44
Horsham,20,GB,1603347332,87,51.06,-0.33,55.99,6.93
Province of Mantua,48,IT,1603347332,100,45.17,10.78,48.0,1.12
Sirte,9,LY,1603347254,58,31.21,16.59,68.45,4.14
Le François,10,MQ,1603347333,88,14.62,-60.9,77.0,4.7
Noumea,90,NC,1603347333,58,-22.28,166.46,84.2,8.05
College,90,US,1603347333,85,64.86,-147.8,24.8,6.93
Zeya,97,RU,1603347333,91,53.75,127.27,30.43,6.78
Kununurra,40,AU,1603347334,44,-15.77,128.73,96.8,6.93
Moerai,76,PF,1603347334,88,-22.43,-151.33,74.21,18.23
Port Macquarie,86,AU,1603347312,71,-31.43,152.92,71.01,11.23
Port-Gentil,75,GA,1603347335,88,-0.72,8.78,78.8,6.93
Saint Stephen,19,GB,1603347335,100,50.33,-4.9,51.01,3.36
Morón,100,AR,1603347335,97,-34.65,-58.62,57.0,7.0
Cabo San Lucas,0,MX,1603347335,71,22.89,-109.91,81.0,9.78
Santa Fe,90,AR,1603347336,83,-31.63,-60.7,66.99,5.01
Ocean City,1,US,1603347251,93,39.28,-74.57,64.99,5.57
Zhangaözen,100,KZ,1603347336,51,43.3,52.8,51.15,7.38
Samarinda,57,ID,1603347336,53,-0.5,117.15,91.89,4.97
North Bend,1,US,1603347117,81,43.41,-124.22,48.2,5.82
Bānkura,88,IN,1603347337,66,23.25,87.07,86.61,12.06
Ondjiva,46,AO,1603347337,30,-17.07,15.73,68.27,8.39
Iwakuni,90,JP,1603347337,88,34.15,132.18,66.2,6.93
Sampit,85,ID,1603347338,52,-2.53,112.95,93.7,2.98
Tiarei,75,PF,1603347338,74,-17.53,-149.33,78.8,5.82
Chokwé,97,MZ,1603347338,73,-24.53,32.98,70.63,9.48
Denpasar,20,ID,1603347082,66,-8.65,115.22,86.0,12.75
Aksu,0,CN,1603347339,24,41.12,80.26,64.11,0.94
Caravelas,99,BR,1603347216,85,-17.71,-39.25,74.08,4.05
Yulara,47,AU,1603347339,11,-25.24,130.99,100.4,28.86
Malé,90,MV,1603347289,94,4.17,73.51,78.8,16.11
Lamesa,75,US,1603347340,77,32.74,-101.95,64.99,11.41
Xifeng,58,CN,1603347340,59,42.74,124.72,42.89,8.81
Taoudenni,4,ML,1603347341,21,22.68,-3.98,72.93,2.01
Vestmannaeyjar,100,IS,1603347341,92,63.44,-20.27,41.68,42.08
Iranshahr,0,IR,1603347341,6,27.2,60.68,75.2,4.7
Riyadh,0,SA,1603347333,30,24.69,46.72,68.0,3.36
Tres Arroyos,88,AR,1603347342,78,-38.37,-60.28,47.82,11.32
Marondera,0,ZW,1603347343,65,-18.19,31.55,64.42,10.98
Dalbandin,0,PK,1603347344,15,28.89,64.41,74.88,2.1
Castro,41,BR,1603347155,95,-24.79,-50.01,57.13,8.95
Manuk Mangkaw,24,PH,1603347344,76,4.8,119.85,84.22,16.04
Arrondissement d'Ajaccio,80,FR,1603347344,76,42.0,8.92,51.8,9.17
Chicama,35,PE,1603347345,82,-7.84,-79.15,63.88,5.3
Fort Nelson,90,CA,1603347345,57,58.81,-122.7,23.0,4.7
Puerto Cabello,49,VE,1603347345,72,10.47,-68.01,82.0,5.61
Margate,1,GB,1603347346,88,51.38,1.39,55.0,4.0
Vytegra,99,RU,1603347346,93,61.01,36.45,32.81,10.92
Anadyr,27,RU,1603347346,80,64.75,177.48,39.2,8.95
San Policarpo,59,PH,1603347346,70,12.18,125.51,86.68,10.45
Kiryat Gat,1,IL,1603347262,66,31.61,34.76,75.0,6.13
Healdsburg,1,US,1603347347,71,38.61,-122.87,66.99,2.86
Provideniya,75,RU,1603347131,80,64.38,-173.3,41.0,6.71
Rio Piracicaba,64,BR,1603347347,93,-19.93,-43.17,65.53,2.33
Pavlohrad,100,UA,1603347348,87,48.52,35.87,51.01,4.47
Ābyek,0,IR,1603347348,76,36.07,50.55,53.6,6.93
Le Port,40,RE,1603347348,58,-20.94,55.29,82.4,25.28
Asău,100,RO,1603347349,93,46.43,26.4,41.0,1.12
Lusambo,9,CD,1603347349,82,-4.97,23.45,74.93,1.43
Mehamn,0,NO,1603347288,92,71.04,27.85,21.2,3.36
Toribío,75,CO,1603347350,88,2.95,-76.27,68.0,4.76
Zlobin,75,HR,1603347351,100,45.29,14.65,54.0,5.82
Goryachegorsk,100,RU,1603347351,45,55.41,88.92,51.6,15.17
Semey,75,KZ,1603347352,53,50.41,80.23,51.8,22.37
Creel,0,MX,1603347352,65,27.75,-107.63,49.33,1.81
Vanimo,99,PG,1603347082,64,-2.67,141.3,82.47,5.75
Sivaki,92,RU,1603347352,90,52.63,126.75,30.47,13.22
Alta Floresta,95,BR,1603347352,88,-9.88,-56.09,74.08,2.17
Sakaiminato,75,JP,1603347353,82,35.55,133.23,66.2,3.36
Aripuanã,71,BR,1603347353,87,-9.17,-60.63,74.3,2.1
Tura,50,IN,1603347353,92,25.52,90.22,78.13,3.85
Port-Cartier,90,CA,1603347354,100,50.03,-66.87,37.4,8.05
Shimoda,75,JP,1603347354,73,34.67,138.95,69.8,11.41
Zielona Góra,33,PL,1603347354,76,51.94,15.51,55.0,5.82
Vulcăneşti,60,MD,1603347354,59,45.68,28.4,52.7,11.14
Cidreira,100,BR,1603347355,88,-30.18,-50.21,65.26,17.27
Killybegs,98,IE,1603347355,91,54.63,-8.45,43.0,1.01
Araouane,0,ML,1603347356,18,18.9,-3.53,83.03,7.74
Cabedelo,75,BR,1603347356,100,-6.98,-34.83,75.2,8.05
Les Cayes,91,HT,1603347356,80,18.2,-73.75,77.94,2.28
Fairbanks,90,US,1603347183,85,64.84,-147.72,24.8,6.93
Jumla,0,NP,1603347305,27,29.27,82.18,66.6,6.44
Pallasovka,74,RU,1603347357,76,50.05,46.88,38.86,7.83
Nouadhibou,0,MR,1603347357,88,20.93,-17.03,69.8,10.29
Preobrazheniye,12,RU,1603347357,74,42.9,133.91,59.43,7.0
Karratha,29,AU,1603347358,31,-20.74,116.85,87.55,20.8
Laguna,1,US,1603347102,63,38.42,-121.42,66.0,1.43
Rajshahi,95,BD,1603347086,63,24.37,88.6,87.4,11.45
Khovd,0,MN,1603347358,51,48.01,91.64,44.47,3.24
Codrington,88,AU,1603347358,78,-38.27,141.97,56.41,13.49
